이름,성별,전화번호,나이,현재 체중,목표 체중,키,회원 가입일,회원 정보 갱신일,흡연 여부,음주 여부,가입 개월 수,개인상담 요청
백승엽,남성,01087886696,34세,0,0,166,2018년 01월 12일,2018년 02월 24일,예,월 2회,0개월,아니요
서윤태,남성,unknown,,78kg,75kg,174,2018년 02월 26일,2018년 02월 26일,아니오,안 마심,3개월,아니요
한수희,여,01085666432,37,60,51,183,2018년 01월 26일,2018년 02월 11일,아니오,월 1회,0개월,아니요
전장호,male,010-3665-6571,31,82,76,175 cm,2018년 02월 18일,2018년 03월 20일,아니오,월 2회,0개월,아니요
홍원준,남,01039717111,39 세,80 kg,72 kg,180,2018년 02월 16일,2018년 02월 16일,아니오,주 1회,0개월,예
신영재,남,010-2916-7763,37,78 kg,68 kg,177,2018년 01월 27일,2018년 01월 27일,아니오,월 2회,3개월,아니요
허예준,남성,unknown,35,83kg,82kg,179,2018년 01월 24일,2018년 01월 24일,아니오,월 2회,3개월,예
장윤찬,남성,unknown,36,77 kg,68 kg,166,2018년 01월 05일,2018년 01월 05일,아니오,주 1회,0개월,아니요
오솔빈,여성,unknown,26,62,52,180,2018년 01월 31일,2018년 02월 02일,아니오,월 1회,3개월,아니요
양은찬,남,unknown,31,82,74,173,2018년 01월 27일,2018년 01월 27일,아니오,월 2회,3개월,아니요
안동완,남성,unknown,27,77,69,180,2018년 01월 13일,2018년 02월 28일,아니오,월 1회,0개월,아니요
조영후,남성,010-5676-8466,40,72,71,171,2018년 02월 27일,2018년 02월 27일,아니오,월 1회,0개월,아니요
정송후,남성,010-9727-3224,30 세,83,75,171,2018년 02월 27일,2018년 02월 27일,아니오,월 2회,0개월,아니요
허성희,남성,unknown,35,0,0,173,2018년 01월 28일,2018년 04월 28일,아니오,월 1회,0개월,아니요
손찬호,남,010-9359-5998,26,80,73,169 cm,2018년 02월 26일,2018년 02월 26일,아니오,월 1회,3개월,아니요
홍설안,여성,010-3466-7585,31,59,50,165,2018년 01월 28일,2018년 01월 28일,예,주 1회,0개월,예
권서희,여,unknown,34,60,53,166,2018년 02월 25일,2018년 03월 12일,예,주 1회,6개월,아니요
박시후,남성,010-7198-5635,,0,0,180,2018년 02월 09일,2018년 02월 09일,아니오,월 1회,6개월,아니요
유진호,남성,010-9581-4497,39 세,79,72,178,2018년 01월 18일,2018년 01월 18일,아니오,월 1회,0개월,아니요
최채유,Female,unknown,31,55,52,169,2018년 02월 20일,2018년 02월 20일,아니오,안 마심,3개월,아니요
류성빈,여성,01092334855,33,61,53,181,2018년 01월 18일,2018년 01월 18일,아니오,월 2회,6개월,아니요
유세안,여성,010-2698-8841,29,59,50,170,2018년 02월 04일,2018년 02월 19일,예,주 1회,0개월,아니요
장채은,여성,01079527677,24,56,46,164,2018년 01월 21일,2018년 01월 21일,아니오,주 1회,0개월,아니요
고은찬,남성,010-6499-5362,30,80,78,178,2018년 01월 25일,2018년 01월 25일,아니오,월 2회,0개월,아니요
송시빈,male,01097779782,34,78,71,173,2018년 01월 27일,2018년 01월 27일,아니오,월 1회,0개월,아니요
김이황,남성,010-3917-2518,27,80 kg,70 kg,184,2018년 01월 01일,2018년 01월 01일,아니오,월 1회,0개월,아니요
유윤수,남성,01094567482,6,78,74,166cm,2018년 02월 07일,2018년 02월 07일,예,주 1회,0개월,아니요
장재우,남성,010-1265-7538,30,81kg,71kg,183 cm,2018년 02월 09일,2018년 05월 16일,예,주 1회,0개월,아니요
강윤상,남성,010-2237-6871,38,82 kg,73 kg,173,2018년 02월 06일,2018년 02월 06일,아니오,월 1회,3개월,아니요
조지율,female,010-5376-6879,,60,52,167,2018년 02월 18일,2018년 02월 18일,아니오,주 1회,0개월,아니요
임채슬,여,01021816229,29,60,56,172,2018년 01월 30일,2018년 04월 22일,아니오,월 1회,3개월,예
유솔비,여성,010-6377-7574,30,55,47,159,2018년 02월 09일,2018년 02월 09일,아니오,주 2회,0개월,아니요
이우재,남성,010-6679-5423,32,85,82,175,2018년 01월 28일,2018년 01월 28일,아니오,월 2회,0개월,아니요
임세은,여성,010-9789-3891,22,59,49,171cm,2018년 01월 12일,2018년 01월 12일,아니오,주 1회,0개월,아니요
이은찬,남,010-1846-7992,33,79,70,182,2018년 01월 14일,2018년 01월 14일,아니오,월 2회,12개월,아니요
김솔아,FEMALE,01079766869,24,59,58,168,2018년 02월 04일,2018년 02월 04일,아니오,주 1회,0개월,예
문채아,여성,010-4793-2546,31,58,55,169,2018년 02월 09일,2018년 02월 09일,아니오,월 1회,0개월,아니요
장선우,male,010-6684-8645,38,80,73,171,2018년 01월 10일,2018년 01월 10일,아니오,월 1회,0개월,아니요
고태연,남성,010-9115-2721,30,78,77,176,2018년 01월 11일,2018년 02월 26일,아니오,월 1회,3개월,아니요
이연후,남성,01059565915,32,83 kg,74 kg,177,2018년 01월 12일,2018년 01월 12일,아니오,주 2회,3개월,아니요
고성율,남성,010-3253-2836,41,79,77,0,2018년 02월 04일,2018년 02월 05일,아니오,월 2회,3개월,아니요
유솔지,여성,010-8635-7751,29,63kg,55kg,0,2018년 02월 02일,2018년 04월 20일,아니오,월 2회,3개월,아니요
장승아,여,010-9634-7232,29,58,55,0,2018년 01월 15일,2018년 01월 30일,아니오,주 1회,3개월,아니요
오초민,여성,010-7787-4387,36,31,30,170,2018년 01월 29일,2018년 02월 14일,예,월 2회,0개월,아니요
안동운,male,010-4928-1416,34,82kg,72kg,0,2018년 02월 26일,2018년 04월 03일,아니오,주 1회,0개월,예
손수민,여성,010-5422-2246,25,56,55,168,2018년 02월 09일,2018년 02월 09일,아니오,월 2회,0개월,아니요
백원재,남,01036545861,26,0,0,177 cm,2018년 01월 01일,2018년 02월 02일,아니오,주 2회,6개월,아니요
서초빈,Female,010-5918-9657,37,58,57,176 cm,2018년 01월 10일,2018년 01월 10일,아니오,월 2회,6개월,아니요
허태영,남,010-4692-2722,36,80,70,172 cm,2018년 02월 12일,2018년 03월 26일,아니오,주 1회,0개월,아니요
백채율,여,010-3759-1711,28,59,52,0,2018년 01월 04일,2018년 01월 04일,아니오,월 1회,6개월,아니요
강은성,남성,01023826173,32,82,76,176,2018년 01월 18일,2018년 01월 18일,아니오,월 1회,0개월,예
오연호,남성,010-8362-4334,29,79,72,175cm,2018년 02월 24일,2018년 02월 24일,아니오,주 1회,3개월,아니요
김시빈,남성,01072316995,36,82,79,189,2018년 02월 08일,2018년 02월 08일,예,월 1회,0개월,아니요
강지애,여성,010-8646-8958,34,63,61,167,2018년 01월 19일,2018년 03월 26일,예,안 마심,0개월,아니요
허동현,male,01091729438,39,0,0,176cm,2018년 01월 12일,2018년 01월 12일,아니오,월 1회,3개월,아니요
홍은후,남성,010-6563-2235,40,79,75,184,2018년 02월 01일,2018년 02월 01일,예,월 2회,3개월,아니요
전채영,여성,010-1514-6411,31,58,56,161,2018년 01월 06일,2018년 01월 06일,아니오,월 2회,0개월,아니요
고성한,남성,010-9714-4114,,80,79,179,2018년 01월 13일,2018년 01월 22일,아니오,주 1회,0개월,아니요
윤설영,female,010-6196-8813,,65,57,171,2018년 01월 27일,2018년 01월 27일,아니오,주 1회,0개월,아니요
윤세빈,여,010-4866-6655,32,58,50,169,2018년 02월 18일,2018년 02월 18일,예,주 1회,0개월,예
임태윤,male,010-6572-5595,31,83,77,180cm,2018년 01월 04일,2018년 04월 01일,아니오,안 마심,0개월,아니요
임원호,남성,010-9294-5656,32,81kg,78kg,177cm,2018년 02월 27일,2018년 02월 27일,아니오,월 1회,0개월,아니요
황시준,male,010-8968-9168,32 세,77,68,174,2018년 02월 18일,2018년 02월 18일,아니오,월 2회,3개월,아니요
김윤태,남,010-9868-1832,36,83,73,0,2018년 02월 28일,2018년 02월 28일,아니오,주 1회,0개월,아니요
한지아,여성,010-5482-6134,33,61kg,59kg,163,2018년 01월 22일,2018년 01월 22일,아니오,주 1회,0개월,아니요
안재우,남성,01047385688,4,0,0,176,2018년 01월 05일,2018년 01월 05일,아니오,주 1회,0개월,아니요
장영찬,male,010-7684-9439,34,75,74,0,2018년 01월 28일,2018년 01월 28일,아니오,월 1회,0개월,아니요
문세윤,여,010-7385-2488,114,53,52,0,2018년 01월 06일,2018년 01월 06일,아니오,주 1회,3개월,아니요
박승준,남성,010-9223-9976,40,81kg,76kg,177,2018년 01월 30일,2018년 01월 30일,아니오,주 1회,0개월,아니요
한승진,남성,unknown,38세,146,141,171cm,2018년 01월 15일,2018년 01월 15일,예,주 1회,12개월,아니요
허원준,남,010-4772-5745,31 세,0,0,178,2018년 02월 08일,2018년 02월 08일,예,월 2회,0개월,아니요
오준완,남,010-6723-2388,33,75,72,173,2018년 01월 28일,2018년 03월 31일,아니오,월 1회,0개월,아니요
서채하,FEMALE,010-1211-9466,27,0,0,164,2018년 01월 29일,2018년 01월 29일,예,주 1회,0개월,아니요
고서우,여성,01042349235,,56,51,173,2018년 01월 16일,2018년 01월 16일,예,월 2회,0개월,아니요
이윤일,male,010-9344-4396,34,0,0,177,2018년 02월 09일,2018년 03월 25일,아니오,월 1회,0개월,아니요
최서후,남성,010-1268-5354,28,80,71,168,2018년 01월 16일,2018년 02월 16일,아니오,주 2회,3개월,아니요
손채윤,female,010-9512-7268,20,64,61,161,2018년 01월 30일,2018년 01월 30일,아니오,월 1회,3개월,아니요
임채정,여,010-4433-7223,32,61,51,169,2018년 02월 22일,2018년 02월 22일,아니오,주 2회,3개월,아니요
정채유,여성,010-4589-9719,45,126,117,166,2018년 01월 24일,2018년 01월 24일,아니오,주 1회,0개월,아니요
박윤태,Male,010-7641-2934,35,83,79,175cm,2018년 01월 31일,2018년 01월 31일,예,주 1회,3개월,아니요
전초민,여성,010-9933-3649,3,66 kg,59 kg,165,2018년 01월 14일,2018년 03월 26일,아니오,월 2회,6개월,아니요
최솔민,여,unknown,31세,61,51,164,2018년 02월 20일,2018년 02월 20일,아니오,주 1회,0개월,아니요
백성은,여,010-1153-3199,34,61,59,168,2018년 01월 05일,2018년 01월 05일,아니오,월 2회,3개월,아니요
서도현,남,01089923429,35 세,80,76,172,2018년 01월 07일,2018년 01월 07일,아니오,주 2회,0개월,아니요
손유찬,남,010-1439-1721,30,75,71,173,2018년 02월 25일,2018년 06월 01일,아니오,월 2회,0개월,아니요
유지현,Female,010-4272-2788,28,62,55,102,2018년 01월 12일,2018년 01월 12일,아니오,주 2회,6개월,아니요
허준완,남성,01041918586,37,85,75,181,2018년 01월 15일,2018년 01월 15일,아니오,월 1회,0개월,예
류윤태,male,010-9634-1279,34,148,143,188,2018년 01월 12일,2018년 01월 12일,아니오,주 1회,12개월,아니요
서도윤,남성,01085248131,38,81,74,171,2018년 02월 13일,2018년 04월 07일,아니오,월 1회,0개월,아니요
임승완,남성,010-1259-7369,41,82 kg,80 kg,175,2018년 01월 05일,2018년 01월 05일,아니오,월 2회,0개월,아니요
최송후,Male,unknown,27,78,77,172cm,2018년 02월 25일,2018년 02월 25일,아니오,월 1회,3개월,아니요
임수민,여성,010-8242-1279,19,68,62,165,2018년 01월 24일,2018년 01월 24일,아니오,월 2회,0개월,아니요
문설민,여,010-5593-1945,29,64,60,167,2018년 02월 11일,2018년 03월 31일,아니오,주 2회,0개월,아니요
배효성,남,010-9218-9668,32,0,0,174,2018년 01월 17일,2018년 01월 17일,아니오,주 1회,0개월,예
신태원,남,010-1823-7494,36,74,68,172cm,2018년 01월 02일,2018년 02월 16일,예,월 2회,3개월,아니요
윤수이,여,010-5816-9816,32,62,58,165,2018년 02월 13일,2018년 02월 13일,아니오,월 2회,0개월,아니요
임재현,Male,01097885368,34,72,63,0,2018년 02월 16일,2018년 03월 29일,아니오,안 마심,3개월,아니요
조동예,남성,01066991369,25,0,0,172,2018년 02월 24일,2018년 02월 24일,예,월 2회,3개월,아니요
허진호,남성,010-7544-1988,39,0,0,187,2018년 01월 01일,2018년 01월 01일,아니오,월 2회,0개월,아니요
류준호,male,010-9164-3935,,83kg,73kg,174,2018년 02월 21일,2018년 02월 26일,아니오,월 2회,0개월,아니요
양승희,여성,unknown,34,59 kg,56 kg,162,2018년 01월 01일,2018년 01월 01일,아니오,주 1회,0개월,아니요
문채빈,Male,unknown,22,81,74,172,2018년 02월 02일,2018년 02월 02일,예,월 1회,3개월,아니요
서선영,여성,01053537213,31,66,63,172,2018년 02월 17일,2018년 02월 17일,아니오,주 1회,0개월,아니요
양세영,여성,01017837698,27,62,54,165,2018년 01월 24일,2018년 01월 24일,아니오,주 1회,0개월,아니요
이솔윤,여,01093859928,33,56,51,165,2018년 01월 21일,2018년 02월 04일,아니오,월 1회,0개월,아니요
한윤성,남,010-1367-4268,28,78,69,0,2018년 02월 15일,2018년 02월 15일,아니오,주 1회,3개월,아니요
조윤진,남성,010-9894-7982,36,82,75,178,2018년 01월 14일,2018년 03월 05일,아니오,월 1회,0개월,아니요
송동영,남,010-5749-3424,,82 kg,80 kg,169,2018년 02월 08일,2018년 02월 08일,아니오,월 1회,6개월,예
김지예,여,01027184692,35,57,55,166,2018년 01월 16일,2018년 01월 16일,예,월 2회,0개월,아니요
전도훈,남성,01023493963,,78,69,172,2018년 01월 10일,2018년 01월 10일,예,주 2회,0개월,아니요
양소현,여성,010-3751-6741,28,56,48,168,2018년 01월 30일,2018년 01월 30일,아니오,주 1회,3개월,아니요
홍민성,남,010-2843-3965,38,76,74,176,2018년 02월 28일,2018년 02월 28일,아니오,안 마심,0개월,예
고승진,Male,unknown,39,79kg,76kg,175,2018년 02월 12일,2018년 02월 24일,아니오,월 1회,3개월,아니요
배지예,female,01036941635,,58 kg,54 kg,170,2018년 01월 27일,2018년 01월 27일,아니오,주 1회,12개월,아니요
강윤도,남성,010-4831-5543,30 세,78,69,174,2018년 02월 12일,2018년 02월 12일,아니오,주 1회,3개월,아니요
강송혁,남,01035583676,37,78kg,74kg,180,2018년 02월 12일,2018년 04월 07일,아니오,월 2회,0개월,아니요
윤준호,남,unknown,35 세,77,71,0,2018년 02월 23일,2018년 02월 23일,아니오,주 1회,0개월,예
홍우성,male,010-5767-4684,34,77,75,175,2018년 02월 20일,2018년 03월 22일,예,주 1회,0개월,아니요
이재빈,남,010-3584-5949,31,79,75,185,2018년 01월 29일,2018년 01월 29일,아니오,안 마심,6개월,아니요
허은진,남,01082636118,34,82,78,166,2018년 02월 28일,2018년 02월 28일,아니오,월 2회,0개월,아니요
강채민,male,010-8516-2559,35,0,0,0,2018년 01월 10일,2018년 01월 10일,예,월 1회,3개월,아니요
조승희,여성,01053598166,27,59,55,162,2018년 01월 22일,2018년 02월 16일,예,안 마심,0개월,예
안슬지,female,unknown,32,61,56,0,2018년 01월 22일,2018년 01월 22일,예,안 마심,0개월,아니요
조수빈,여,010-5124-8764,32,58kg,53kg,124,2018년 02월 08일,2018년 02월 27일,예,월 2회,0개월,아니요
송동영,남,010-5359-1614,45,77 kg,74 kg,191,2018년 02월 07일,2018년 02월 07일,아니오,월 2회,0개월,아니요
한설빈,여성,01082381573,39,60,55,171,2018년 02월 28일,2018년 02월 28일,아니오,안 마심,0개월,아니요
문성준,남성,010-8366-1346,28,79kg,71kg,180,2018년 02월 17일,2018년 02월 22일,아니오,주 1회,6개월,아니요
이채혁,Male,01093242928,27,74 kg,68 kg,179,2018년 01월 05일,2018년 01월 18일,아니오,주 1회,0개월,예
류찬 율,남성,010-7943-8822,36,82,78,172,2018년 01월 23일,2018년 01월 23일,예,월 2회,3개월,아니요
오원우,남,010-3345-4424,41,79kg,69kg,173,2018년 01월 07일,2018년 03월 30일,아니오,월 2회,6개월,아니요
박은찬,남,01069414351,26,81,72,178,2018년 01월 02일,2018년 01월 02일,예,월 2회,0개월,아니요
양재원,남,01011548635,45,81kg,80kg,179,2018년 02월 22일,2018년 02월 22일,아니오,주 2회,0개월,아니요
장동한,남,010-9519-1528,34,80kg,79kg,172,2018년 01월 05일,2018년 01월 05일,아니오,월 2회,12개월,아니요
손시환,남성,unknown,36,82 kg,73 kg,171,2018년 02월 11일,2018년 03월 02일,아니오,월 2회,0개월,아니요
정효성,남,010-6787-9433,38,78,77,177,2018년 01월 18일,2018년 01월 18일,예,월 1회,0개월,아니요
안채이,여성,010-8462-6389,38,60,56,164,2018년 01월 30일,2018년 01월 30일,예,주 1회,0개월,아니요
문원준,남성,010-4756-5767,39 세,76,67,172,2018년 01월 25일,2018년 03월 18일,아니오,월 1회,0개월,아니요
윤우찬,남,010-5211-6299,38,81,80,171,2018년 02월 23일,2018년 02월 23일,예,월 1회,3개월,아니요
박이황,남성,010-5643-2317,,81,77,181,2018년 02월 05일,2018년 03월 05일,아니오,주 1회,0개월,아니요
신준일,male,010-1394-3196,31,80,76,0,2018년 01월 20일,2018년 01월 20일,예,주 1회,3개월,아니요
송윤후,남성,010-9893-5185,28,81,80,169,2018년 01월 10일,2018년 01월 10일,아니오,월 2회,0개월,예
문성찬,남성,01056967554,25,81,74,174,2018년 01월 19일,2018년 01월 19일,아니오,월 2회,0개월,아니요
전준상,남성,01097695989,36,82,73,175,2018년 01월 20일,2018년 01월 20일,아니오,월 2회,3개월,예
장채솔,female,unknown,31,0,0,0,2018년 01월 05일,2018년 01월 05일,아니오,주 1회,6개월,아니요
안연후,남성,010-6962-2679,43,82,81,171,2018년 01월 05일,2018년 02월 08일,예,주 2회,0개월,예
한재현,남성,010-5937-2462,,39,33,0,2018년 02월 13일,2018년 02월 13일,아니오,주 2회,0개월,예
송윤 채,남성,01027894156,38,81,75,175,2018년 01월 07일,2018년 01월 07일,예,월 2회,0개월,아니요
김슬민,female,01093586969,23,59,57,177cm,2018년 01월 10일,2018년 01월 10일,아니오,월 1회,6개월,아니요
송수희,여,010-6456-6458,20세,63,53,177,2018년 01월 06일,2018년 01월 06일,아니오,주 1회,0개월,예
고준후,남,01091561588,30,85,82,185,2018년 02월 28일,2018년 02월 28일,아니오,월 2회,0개월,아니요
장은성,남성,01074158678,36 세,82 kg,77 kg,179 cm,2018년 01월 28일,2018년 01월 28일,아니오,월 1회,6개월,예
유윤후,남,010-1894-9716,33,79,69,173,2018년 02월 07일,2018년 02월 07일,아니오,주 1회,3개월,아니요
유채율,여성,010-5926-8624,33,63,61,177 cm,2018년 01월 14일,2018년 01월 14일,아니오,월 2회,0개월,아니요
허서훈,남성,010-6945-2717,32,77,74,171,2018년 01월 08일,2018년 03월 20일,예,안 마심,0개월,아니요
전지수,여,010-2554-7758,21 세,58,50,169,2018년 01월 26일,2018년 01월 26일,아니오,주 1회,0개월,아니요
송승은,female,unknown,26,61,59,170,2018년 02월 28일,2018년 06월 01일,아니오,월 1회,0개월,아니요
서초연,Female,010-4884-8792,28,59,49,161 cm,2018년 02월 25일,2018년 05월 17일,아니오,주 1회,0개월,아니요
이주원,남성,010-5477-8446,22,82,79,172,2018년 02월 27일,2018년 02월 27일,아니오,주 1회,0개월,아니요
강선이,여,010-7452-9637,25,57kg,55kg,175,2018년 02월 16일,2018년 02월 16일,아니오,월 1회,0개월,예
백슬지,여성,01036555724,24,56,54,163,2018년 01월 28일,2018년 01월 28일,아니오,안 마심,0개월,예
류세원,Male,unknown,25,78,71,175,2018년 01월 04일,2018년 01월 04일,아니오,주 1회,0개월,아니요
전예찬,남성,01019848261,,76,72,0,2018년 02월 18일,2018년 02월 18일,아니오,주 2회,0개월,아니요
강서희,여,010-9168-7677,28,60,52,173 cm,2018년 01월 26일,2018년 01월 26일,예,월 1회,0개월,아니요
양승호,Male,010-7766-5891,37,74,66,182,2018년 01월 16일,2018년 01월 16일,아니오,월 2회,3개월,아니요
장영인,남성,010-7391-1477,30,82,73,173cm,2018년 02월 28일,2018년 02월 28일,아니오,월 1회,0개월,아니요
이채설,여,01037493662,32,58,48,164,2018년 01월 14일,2018년 01월 14일,아니오,월 1회,0개월,아니요
안윤찬,남성,01046816656,37,83,82,172,2018년 02월 28일,2018년 04월 23일,아니오,주 1회,6개월,예
허성희,male,01091238333,39 세,80 kg,77 kg,173,2018년 01월 21일,2018년 01월 21일,예,월 1회,0개월,아니요
홍대현,남성,010-8172-3329,35,82,79,176,2018년 01월 21일,2018년 04월 27일,아니오,월 1회,0개월,아니요
장선아,여성,010-1381-8963,22 세,61,56,169,2018년 02월 16일,2018년 02월 16일,아니오,월 2회,6개월,아니요
손솔아,female,01088492946,,62,55,165,2018년 02월 01일,2018년 03월 07일,아니오,월 2회,0개월,아니요
손재호,남,unknown,36세,80,74,170,2018년 02월 19일,2018년 02월 19일,아니오,월 2회,0개월,아니요
임동현,남,010-5934-8952,36,79,74,179,2018년 01월 14일,2018년 01월 14일,예,주 1회,0개월,아니요
정준완,남성,01031972527,36,77 kg,76 kg,176,2018년 01월 30일,2018년 01월 30일,예,주 1회,0개월,아니요
서채아,female,010-3997-6444,30,63,57,0,2018년 02월 18일,2018년 02월 18일,아니오,월 2회,0개월,아니요
황아준,male,010-8262-5264,38,81,72,166,2018년 02월 28일,2018년 02월 28일,아니오,주 1회,0개월,아니요
조소민,Female,unknown,28,66,58,172,2018년 02월 14일,2018년 05월 11일,아니오,주 2회,0개월,아니요
홍채희,여성,unknown,,23,17,166,2018년 02월 16일,2018년 03월 14일,아니오,안 마심,0개월,아니요
조재호,male,01089936635,41세,76 kg,71 kg,173,2018년 02월 22일,2018년 02월 22일,아니오,주 1회,0개월,아니요
허보성,남,010-2969-8114,38,84,79,185,2018년 01월 19일,2018년 01월 19일,예,월 1회,0개월,아니요
손승빈,여,010-6961-3713,31,55 kg,51 kg,160,2018년 01월 30일,2018년 04월 27일,아니오,월 2회,3개월,아니요
윤수훈,Male,010-2992-5569,24,81,77,181 cm,2018년 02월 11일,2018년 02월 11일,아니오,주 1회,12개월,아니요
전채우,여성,01018451861,33,61kg,52kg,167,2018년 01월 12일,2018년 01월 12일,아니오,월 1회,0개월,아니요
고슬비,Female,01053618982,31,62kg,56kg,172cm,2018년 01월 05일,2018년 01월 05일,예,주 2회,0개월,아니요
류장혁,남성,010-7314-5229,36,77kg,70kg,176,2018년 02월 22일,2018년 02월 22일,아니오,주 2회,0개월,아니요
오설윤,여성,010-1539-2891,32,61,53,157,2018년 02월 23일,2018년 02월 23일,아니오,월 1회,0개월,아니요
문설안,여성,01094728322,,0,0,159cm,2018년 02월 16일,2018년 02월 16일,아니오,월 1회,0개월,아니요
정세아,여성,010-5729-3682,40,58,54,162 cm,2018년 02월 07일,2018년 02월 07일,아니오,월 1회,0개월,아니요
윤준상,남성,unknown,45,83,74,173,2018년 01월 08일,2018년 01월 08일,아니오,주 1회,0개월,아니요
이세율,여성,01098176649,32,64,58,164cm,2018년 01월 31일,2018년 03월 27일,아니오,월 1회,0개월,아니요
서세아,여,01078221322,29,60,51,165,2018년 01월 20일,2018년 01월 20일,아니오,안 마심,0개월,예
백슬윤,여성,unknown,37,0,0,169,2018년 01월 05일,2018년 01월 05일,예,월 1회,6개월,아니요
임설안,여,010-1663-3116,,61,51,168,2018년 02월 01일,2018년 02월 01일,아니오,주 1회,0개월,아니요
권준아,남,010-9749-9313,37,78,69,181,2018년 02월 05일,2018년 02월 05일,아니오,월 1회,0개월,아니요
조민준,남성,010-6521-2365,7,82 kg,74 kg,173,2018년 01월 23일,2018년 01월 23일,아니오,월 1회,0개월,아니요
조채우,여,unknown,33 세,65,56,159 cm,2018년 01월 29일,2018년 01월 29일,아니오,주 1회,0개월,아니요
고윤진,남성,010-3175-5635,37,78kg,76kg,179,2018년 01월 04일,2018년 04월 09일,아니오,월 1회,0개월,예
백초은,여성,010-2878-5833,113,0,0,0,2018년 01월 10일,2018년 01월 10일,아니오,월 2회,0개월,아니요
허주원,남,010-5453-7453,,78,68,185,2018년 01월 13일,2018년 01월 13일,아니오,월 2회,0개월,아니요
조준연,남,010-7523-6812,35,77 kg,74 kg,177,2018년 01월 19일,2018년 01월 19일,아니오,월 1회,3개월,아니요
김준아,남성,01065564182,34,79,76,116,2018년 01월 01일,2018년 01월 01일,아니오,월 2회,0개월,아니요
